predictor,predictor_label,metric_used_for_gap,flip_sign,uni_metric,n_models,n_masks,observed,null_mean,null_std,null_min,null_p2_5,null_p97_5,null_max,z_score,p_two_sided,p_one_sided_greater,p_one_sided_less,n_permutations_finite
mask_area_pixels,mask area (foreground pixels),spearman,True,pearson,19,1306,-0.6129916221144378,0.0023004580222040208,0.3192567256546581,-0.8540444221411155,-0.5954876324246655,0.5923814792835752,0.8267127624532362,-1.9272642694525624,0.040495950404959506,0.979002099790021,0.021097890210978902,10000
mask_area_pixels,mask area (foreground pixels),spearman,True,spearman,19,1306,-0.6147120046422128,0.00171141810690718,0.2759353557267562,-0.848091204112394,-0.5319284395471297,0.5222410010785562,0.8128641551357628,-2.2339414285117223,0.018198180181981802,0.9912008799120088,0.008999100089991,10000
center_distance_pixels,centroid distance to center,spearman,False,pearson,19,1306,-0.2296382921255277,-0.0029771012414286937,0.31891314821157146,-0.8580424535216351,-0.592306410480444,0.5806994469680117,0.861031501809726,-0.7107301538214686,0.521047895210479,0.7366263373662634,0.26347365263473654,10000
center_distance_pixels,centroid distance to center,spearman,False,spearman,19,1306,-0.1497149581506822,-0.0037783652056110123,0.2752198740064485,-0.83223903207291,-0.5292864108738824,0.5204796486297244,0.7741144012614686,-0.530254559093548,0.6117388261173883,0.6902309769023097,0.31026897310268975,10000
person_bin,Person (Y/N),pearson,True,pearson,19,1306,-0.15326711730966466,-0.001437204627705298,0.32471354091940624,-0.8611071198201059,-0.6007142111726108,0.5998922535704073,0.8378772816946687,-0.46758109394533526,0.6788321167883211,0.6603339666033397,0.3397660233976602,10000
person_bin,Person (Y/N),pearson,True,spearman,19,1306,-0.06781206928001487,0.00019445331035100372,0.27894743572912756,-0.8868409579866882,-0.526644382200635,0.5301891040039083,0.8965283964552618,-0.2437969089502717,0.8328167183281672,0.5841415858414158,0.41615838416158385,10000
max_gbvs,max GBVS in mask,spearman,True,pearson,19,1306,-0.3745882175565525,-0.001187837397861024,0.3154621101384343,-0.8229920789227302,-0.593637392890105,0.5971016550234216,0.8699039816391342,-1.1836615814014309,0.26147385261473854,0.8727127287271272,0.12738726127387262,10000
max_gbvs,max GBVS in mask,spearman,True,spearman,19,1306,-0.2871004491595435,-0.0002924725741284808,0.27274840968035347,-0.7908472495253683,-0.5178376199564773,0.5249050466574136,0.8489718803368098,-1.0515477502565045,0.3073692630736926,0.8483151684831517,0.15258474152584742,10000
