img_fn,mask_basename,mean_similarity_score,mask_area_pixels,mask_area_fraction,mask_centroid_x,mask_centroid_y,image_width,image_height,center_distance_pixels,animacy_bin,person_bin,max_gbvs,mean_gbvs
1007_Panda_plush_mask_0.png,1007_Panda_plush_mask_0.png,0.5677789330482483,60241,0.12550208333333332,213.57060805763516,211.4673063196162,800,600,205.7170239544647,0.0,0.0,255,127.378994
1007_card_mask_merged.png,1007_card_mask_merged.png,0.607459463856437,110187,0.22955625,562.2743517837857,273.03002169039905,800,600,164.91255061499223,0.0,0.0,174,64.014784
1007_green_paper_mask_0.png,1007_green_paper_mask_0.png,0.6908469471064481,28835,0.06007291666666666,418.87379920235827,364.64775446505985,800,600,67.96744814521892,0.0,0.0,172,99.318918
1007_tag_mask_0.png,1007_tag_mask_0.png,0.6985038952393965,2723,0.005672916666666666,268.29489533602646,85.32904884318766,800,600,251.16523606840568,0.0,0.0,117,76.557106
1010_bola_sign_mask_0.png,1010_bola_sign_mask_0.png,0.7320737183094025,16037,0.033410416666666665,428.5942507950365,206.74571303859824,800,600,97.21025243791185,0.0,0.0,255,162.393715
1010_bola_sign_mask_1.png,1010_bola_sign_mask_1.png,0.7411801435730674,16450,0.034270833333333334,705.2266869300912,206.2776291793313,800,600,319.6235559571232,0.0,0.0,168,89.767964
1010_bola_sign_mask_2.png,1010_bola_sign_mask_2.png,0.7077197015285492,15903,0.03313125,150.60718103502484,208.1649374331887,800,600,265.1221020330354,0.0,0.0,189,133.105263
1010_man_mask_0.png,1010_man_mask_0.png,0.6093574816530402,4220,0.008791666666666666,107.14052132701421,378.53601895734596,800,600,302.8543495850208,1.0,1.0,104,85.333175
1012_bone_toy_mask_0.png,1012_bone_toy_mask_0.png,0.7128917520696466,6033,0.01256875,722.7223603514007,464.3076413061495,800,600,362.81435041082256,0.0,0.0,127,56.815349
1012_dog_toy_mask_merged.png,1012_dog_toy_mask_merged.png,0.700778329372406,33038,0.06882916666666666,604.2425388946062,447.28676069980025,800,600,252.50828475744984,0.0,0.0,255,135.195078
1012_puppy_mask_0.png,1012_puppy_mask_0.png,0.639700323343277,65261,0.13596041666666667,272.2279615696971,323.9515943672331,800,600,129.59958423275984,1.0,0.0,162,83.039304
1012_rope_toy_mask_merged.png,1012_rope_toy_mask_merged.png,0.704523812640797,10956,0.022825,693.9534501642935,431.0423512230741,800,600,322.4999604324792,0.0,0.0,180,88.594925
1017_cups_mask_0.png,1017_cups_mask_0.png,0.6563762903213501,479,0.0009979166666666667,631.0751565762005,266.4321503131524,800,600,233.92420957695617,0.0,0.0,80,72.467641
1017_cups_mask_1.png,1017_cups_mask_1.png,0.6518808722496032,779,0.0016229166666666666,391.0385109114249,439.4300385109114,800,600,140.1856357665122,0.0,0.0,121,101.766367
1017_girl_in_pink_mask_merged.png,1017_girl_in_pink_mask_merged.png,0.4024880826473236,55398,0.1154125,583.6347882595039,370.20264269468214,800,600,197.2421961228992,1.0,1.0,255,90.011463
1017_plastic_bag_mask_0.png,1017_plastic_bag_mask_0.png,0.6315761158863703,5179,0.010789583333333333,674.0996331338096,413.2081482911759,800,600,297.21120689676366,0.0,0.0,102,74.844951
1017_stop_sign_mask_0.png,1017_stop_sign_mask_0.png,0.6396874487400055,33110,0.06897916666666666,137.20537601932952,442.77167019027485,800,600,298.87328627408675,0.0,0.0,132,53.618544
1017_yellow_sign_mask_0.png,1017_yellow_sign_mask_0.png,0.6600637257099151,12279,0.02558125,347.17257105627493,455.35450769606643,800,600,164.40434115023797,0.0,0.0,150,100.000652
1018_Black_jersey_mask_0.png,1018_Black_jersey_mask_0.png,0.6471147537231445,16827,0.03505625,304.66684495156596,245.79318951684792,800,600,108.98508516633615,0.0,0.0,255,164.49688
1018_base_mask_0.png,1018_base_mask_0.png,0.7163519501686096,3782,0.007879166666666666,581.7065044949762,570.0824960338446,800,600,326.2117371281777,0.0,0.0,12,7.243786
1018_baseball_glove_mask_0.png,1018_baseball_glove_mask_0.png,0.7347742373293097,3996,0.008325,127.49949949949949,350.03678678678676,800,600,276.6554519456573,0.0,0.0,183,126.80005
1018_red_jersey_mask_0.png,1018_red_jersey_mask_0.png,0.6560816764831543,9155,0.019072916666666665,523.0921900600764,240.27154560349535,800,600,137.05122857546692,0.0,0.0,212,161.387657
1019_Black_and_white_cat_mask_merged.png,1019_Black_and_white_cat_mask_merged.png,0.4018334954977035,72491,0.15102291666666667,260.98746051233945,354.9753072795244,800,600,149.20869047437677,1.0,0.0,255,114.85623
1019_cushion_mask_0.png,1019_cushion_mask_0.png,0.7453749288212169,17184,0.0358,229.35288640595903,137.32152001862198,800,600,235.057226294904,0.0,0.0,209,104.757216
1019_gray_cat_mask_merged.png,1019_gray_cat_mask_merged.png,0.6717838048934937,20836,0.043408333333333333,450.67191399500865,166.86844883854866,800,600,142.16080031220017,1.0,0.0,255,195.180505
1020_Book_mask_0.png,1020_Book_mask_0.png,0.6175567269325256,55815,0.11628125,316.41897339424884,239.12355101675178,800,600,102.70234940687729,0.0,0.0,190,132.791848
1020_girl_mask_0.png,1020_girl_mask_0.png,0.6694462716579437,82218,0.1712875,437.1969276800701,301.69275584421905,800,600,37.760647964630984,1.0,1.0,230,127.014753
1020_stuffed_animal_mask_0.png,1020_stuffed_animal_mask_0.png,0.7591971321539446,25563,0.05325625,552.6804756875171,392.9228963736651,800,600,179.42155862297756,0.0,0.0,255,172.156241
