human_csv,cache_subfolder,model_csv_relpath,model_csv_path,metric,method,predictor_column,n_bootstrap,n_rows_aligned,n_human_correlation_smaller,pct_human_correlation_smaller
CSS_result/Cache/human_filtered_10/scene_description_human_filtered_all_10_mean_distance_mean_of_10.csv,20260428_142457claude-opus-4-6,20260428_142457claude-opus-4-6/scored_descriptions_20260428_142457.csv,CSS_result/Cache/20260428_142457claude-opus-4-6/scored_descriptions_20260428_142457.csv,spearman_rho_person,spearman,person_bin,10000,1306,9250,92.5
CSS_result/Cache/human_filtered_10/scene_description_human_filtered_all_10_mean_distance_mean_of_10.csv,20260428_142457claude-opus-4-6,20260428_142457claude-opus-4-6/scored_descriptions_20260428_142457.csv,CSS_result/Cache/20260428_142457claude-opus-4-6/scored_descriptions_20260428_142457.csv,pearson_r_gbvs,pearson,max_gbvs,10000,1306,73,0.73
CSS_result/Cache/human_filtered_10/scene_description_human_filtered_all_10_mean_distance_mean_of_10.csv,20260428_142457claude-opus-4-6,20260428_142457claude-opus-4-6/scored_descriptions_20260428_142457.csv,CSS_result/Cache/20260428_142457claude-opus-4-6/scored_descriptions_20260428_142457.csv,spearman_rho_gbvs,spearman,max_gbvs,10000,1306,14,0.14
CSS_result/Cache/human_filtered_10/scene_description_human_filtered_all_10_mean_distance_mean_of_10.csv,20260428_142457claude-opus-4-6,20260428_142457claude-opus-4-6/scored_descriptions_20260428_142457.csv,CSS_result/Cache/20260428_142457claude-opus-4-6/scored_descriptions_20260428_142457.csv,pearson_r_gbvs_mean,pearson,mean_gbvs,10000,1306,77,0.77
CSS_result/Cache/human_filtered_10/scene_description_human_filtered_all_10_mean_distance_mean_of_10.csv,20260428_142457claude-opus-4-6,20260428_142457claude-opus-4-6/scored_descriptions_20260428_142457.csv,CSS_result/Cache/20260428_142457claude-opus-4-6/scored_descriptions_20260428_142457.csv,spearman_rho_gbvs_mean,spearman,mean_gbvs,10000,1306,5,0.05
CSS_result/Cache/human_filtered_10/scene_description_human_filtered_all_10_mean_distance_mean_of_10.csv,20260428_142728claude-sonnet-4-6,20260428_142728claude-sonnet-4-6/scored_descriptions_20260428_142728.csv,CSS_result/Cache/20260428_142728claude-sonnet-4-6/scored_descriptions_20260428_142728.csv,pearson_r_area,pearson,mask_area_pixels,10000,1306,295,2.95
CSS_result/Cache/human_filtered_10/scene_description_human_filtered_all_10_mean_distance_mean_of_10.csv,20260428_142728claude-sonnet-4-6,20260428_142728claude-sonnet-4-6/scored_descriptions_20260428_142728.csv,CSS_result/Cache/20260428_142728claude-sonnet-4-6/scored_descriptions_20260428_142728.csv,spearman_rho_area,spearman,mask_area_pixels,10000,1306,514,5.14
CSS_result/Cache/human_filtered_10/scene_description_human_filtered_all_10_mean_distance_mean_of_10.csv,20260428_142728claude-sonnet-4-6,20260428_142728claude-sonnet-4-6/scored_descriptions_20260428_142728.csv,CSS_result/Cache/20260428_142728claude-sonnet-4-6/scored_descriptions_20260428_142728.csv,pearson_r_center_dist,pearson,center_distance_pixels,10000,1306,9998,99.98
CSS_result/Cache/human_filtered_10/scene_description_human_filtered_all_10_mean_distance_mean_of_10.csv,20260428_142728claude-sonnet-4-6,20260428_142728claude-sonnet-4-6/scored_descriptions_20260428_142728.csv,CSS_result/Cache/20260428_142728claude-sonnet-4-6/scored_descriptions_20260428_142728.csv,spearman_rho_center_dist,spearman,center_distance_pixels,10000,1306,9999,99.99
CSS_result/Cache/human_filtered_10/scene_description_human_filtered_all_10_mean_distance_mean_of_10.csv,20260428_142728claude-sonnet-4-6,20260428_142728claude-sonnet-4-6/scored_descriptions_20260428_142728.csv,CSS_result/Cache/20260428_142728claude-sonnet-4-6/scored_descriptions_20260428_142728.csv,pearson_r_person,pearson,person_bin,10000,1306,10000,100.0
